time,geo,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),values,na_item,Type of fuel
1997-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,102427,VAEnergy,NA
1997-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,102857,VAEnergy,NA
1997-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,103135,VAEnergy,NA
1997-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,103800,VAEnergy,NA
1998-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,102659,VAEnergy,NA
1998-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,101015,VAEnergy,NA
1998-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,101215,VAEnergy,NA
1998-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,100123,VAEnergy,NA
1999-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,101527,VAEnergy,NA
1999-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,101814,VAEnergy,NA
1999-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,105112,VAEnergy,NA
1999-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,104696,VAEnergy,NA
2000-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,104121,VAEnergy,NA
2000-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,104837,VAEnergy,NA
2000-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,104183,VAEnergy,NA
2000-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,106052,VAEnergy,NA
2001-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,106233,VAEnergy,NA
2001-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,107929,VAEnergy,NA
2001-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,106309,VAEnergy,NA
2001-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,105464,VAEnergy,NA
2002-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,106946,VAEnergy,NA
2002-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,107682,VAEnergy,NA
2002-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,108882,VAEnergy,NA
2002-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,110307,VAEnergy,NA
2003-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,112670,VAEnergy,NA
2003-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,112135,VAEnergy,NA
2003-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,113516,VAEnergy,NA
2003-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,112406,VAEnergy,NA
2004-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,114808,VAEnergy,NA
2004-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,115455,VAEnergy,NA
2004-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,114799,VAEnergy,NA
2004-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,116250,VAEnergy,NA
2005-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,115519,VAEnergy,NA
2005-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,117845,VAEnergy,NA
2005-07-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,119408,VAEnergy,NA
2005-10-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,122752,VAEnergy,NA
2006-01-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,121418,VAEnergy,NA
2006-04-01,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,Energy sector,121995,VAEnergy,NA
